provider,model,response,tokens,latency_sec
HuggingFace,BanglaBERT-tokenizer,"['বাংলাদেশের', 'রাজধানী', 'কে', '##াথা', '##য', '?']",6,0
HuggingFace,BanglaBERT-tokenizer,"['বাংলাদেশের', 'রাজধানী', 'কে', '##াথা', '##য', '?']",6,0
